Mini-Application Name,Mini-Application Version,Number of MPI ranks,OpenMP not enabled,nx,ny,nz,Number of iterations,Final residual,Total Time,DDOT Time,WAXPBY Time,SPARSEMV Time,Total FLOPS,DDOT FLOPS,WAXPBY FLOPS,SPARSEMV FLOPS,Total MFLOPS,DDOT MFLOPS,WAXPBY MFLOPS,SPARSEMV MFLOPS,Min DDOT MPI_Allreduce time,Max DDOT MPI_Allreduce time,Avg DDOT MPI_Allreduce time,SPARSEMV MFLOPS W OVERHEAD,SPARSEMV PARALLEL OVERHEAD Time,SPARSEMV PARALLEL OVERHEAD Pct,SPARSEMV PARALLEL OVERHEAD Setup Time,SPARSEMV PARALLEL OVERHEAD Setup Pct,SPARSEMV PARALLEL OVERHEAD Bdry Exch Time,SPARSEMV PARALLEL OVERHEAD Bdry Exch Pct
hpccg,1,2,,32,32,32,149,2.13E-28,0.512576,0.0172846,0.0215635,0.46946,624951000,39059500,58589200,527303000,1219.24,2259.79,2717.06,1123.21,0.00284334,0.00285549,0.00284942,1098.03,0.0107648,2.24161,0.00732834,1.52602,0.00343642,0.715586
hpccg,1,2,,64,64,64,149,1.36E-20,4.57649,0.235556,1.29841,3.02545,4999610000,312476000,468713000,4218420000,1092.46,1326.54,360.99,1394.31,0.00283346,0.0139714,0.00840245,1365.65,0.0634943,2.05553,0.0481396,1.55845,0.0153547,0.497086
hpccg,1,2,,8,8,8,149,1.58E-76,0.00218651,0.000308349,0.000111081,0.00148758,9764860,610304,915456,8239100,4465.96,1979.26,8241.34,5538.58,0.000156372,0.000162403,0.000159387,4512.82,0.000338126,18.5202,0.000189258,10.3663,0.000148868,8.15398
hpccg,1,4,,128,128,128,149,1.87E-18,38.0673,3.22412,11.7641,23.0346,79993800000,4999610000,7499420000,67494700000,2101.38,1550.69,637.485,2930.14,0.237385,2.52619,1.27255,2873.87,0.451057,1.92056,0.408719,1.74029,0.0423383,0.180273
hpccg,1,4,,16,16,16,149,7.48E-37,0.139632,0.121978,0.0011903,0.0149913,156238000,9764860,14647300,131826000,1118.93,80.0541,12305.5,8793.5,0.0378753,0.122109,0.0870793,4509.79,0.0142398,48.7145,0.0132717,45.4028,0.000968049,3.31172
hpccg,1,4,,32,32,32,149,7.25E-25,0.599198,0.152087,0.030636,0.410107,1249900000,78118900,117178000,1054610000,2085.96,513.645,3824.86,2571.54,0.0745525,0.296811,0.168131,2398.99,0.0294967,6.70983,0.0240266,5.4655,0.00547009,1.24432
hpccg,1,4,,64,64,64,149,1.58E-19,4.71246,0.68452,1.28779,2.72051,9999220000,624951000,937427000,8436840000,2121.87,912.977,727.932,3101.2,0.0822919,0.442026,0.263281,3005.17,0.086935,3.09659,0.0690878,2.46088,0.0178472,0.635711
hpccg,1,4,,8,8,8,149,1.17E-62,0.0868772,0.084506,0.000122786,0.00150057,19529700,1220610,1830910,16478200,224.797,14.444,14911.4,10981.3,0.0351463,0.0843511,0.0667791,1056.48,0.0140968,90.3793,0.0135821,87.0799,0.000514625,3.29944
hpccg,1,8,,128,128,128,149,2.17E-18,41.7231,7.4611,11.7592,22.4446,159988000000,9999220000,14998800000,134989000000,3834.5,1340.18,1275.5,6014.33,0.588241,7.9692,3.80808,5892,0.466018,2.03407,0.410133,1.79014,0.0558855,0.243928
hpccg,1,8,,16,16,16,149,6.43E-33,0.201563,0.180776,0.0011237,0.0153394,312476000,19529700,29294600,263651000,1550.26,108.033,26069.8,17187.8,0.0986968,0.181002,0.124788,5799.55,0.0301212,66.2578,0.0262619,57.7685,0.00385926,8.48924
hpccg,1,8,,32,32,32,149,1.20E-21,0.848788,0.405589,0.030454,0.405014,2499810000,156238000,234357000,2109210000,2945.15,385.213,7695.44,5207.74,0.112254,0.546484,0.285932,4728.25,0.0410727,9.20734,0.0342533,7.67862,0.00681942,1.52872
hpccg,1,8,,64,64,64,149,4.19E-19,5.63977,1.50206,1.37095,2.74044,19998400000,1249900000,1874850000,16873700000,3545.97,832.126,1367.56,6157.29,0.170848,1.80681,0.872388,5914.19,0.112642,3.94808,0.088161,3.09003,0.0244809,0.858052
hpccg,1,8,,8,8,8,149,1.98E-54,0.142572,0.135965,0.000125685,0.00151921,39059500,2441220,3661820,32956400,273.963,17.9547,29134.9,21693.1,0.0883198,0.135809,0.113665,1000.94,0.0314064,95.3859,0.026691,81.0645,0.00471542,14.3214
