"Mini-Application Name","Mini-Application Version","Number of MPI ranks","OpenMP not enabled","nx","ny","nz","Number of iterations","Final residual","Total Time","DDOT Time","WAXPBY Time","SPARSEMV Time","Total FLOPS","DDOT FLOPS","WAXPBY FLOPS","SPARSEMV FLOPS","Total MFLOPS","DDOT MFLOPS","WAXPBY MFLOPS","SPARSEMV MFLOPS","Min DDOT MPI_Allreduce time","Max DDOT MPI_Allreduce time","Avg DDOT MPI_Allreduce time","SPARSEMV MFLOPS W OVERHEAD","SPARSEMV PARALLEL OVERHEAD Time","SPARSEMV PARALLEL OVERHEAD Pct","SPARSEMV PARALLEL OVERHEAD Setup Time","SPARSEMV PARALLEL OVERHEAD Setup Pct","SPARSEMV PARALLEL OVERHEAD Bdry Exch Time","SPARSEMV PARALLEL OVERHEAD Bdry Exch Pct"
"hpccg",1,16,,4,4,4,149,2.93367E-84,0.0105437,0.00765417,0.000029735,0.000144489,9764860,610304,915456,8239100,926.136,79.7348,30787.2,57022.4,0.00761954,0.00932886,0.00876421,971.754,0.0083341,98.2958,0.00576631,68.0103,0.00256779,30.2856
"hpccg",1,2,,4,4,4,149,2.03958E-147,0.000569222,0.000235836,0.000017085,0.00009043,1220610,76288,114432,1029890,2144.34,323.479,6697.81,11388.8,0.000207453,0.00021696,0.000212207,869.535,0.00109398,92.365,0.000959545,81.0144,0.000134438,11.3506
"hpccg",1,32,,4,4,4,149,6.74182E-76,0.0325218,0.0289107,0.000031405,0.00013329,19529700,1220610,1830910,16478200,600.511,42.2199,58300,123627,0.023753,0.0306547,0.0274471,596.759,0.0274796,99.5173,0.0243334,88.1235,0.00314614,11.3938
"hpccg",1,4,,4,4,4,149,3.97169E-118,0.0010069,0.000627935,0.000016458,0.000089638,2441220,152576,228864,2059780,2424.48,242.981,13905.9,22978.8,0.000512569,0.000599455,0.000549961,931.752,0.00212101,95.9452,0.00193483,87.5231,0.000186183,8.4221
"hpccg",1,64,,4,4,4,149,2.47724E-74,1.31394,1.23769,0.000048621,0.000192892,39059500,2441220,3661820,32956400,29.7269,1.9724,75313.6,170854,1.04957,1.25791,1.13686,101.097,0.325797,99.9408,0.261416,80.1915,0.0643807,19.7493
"hpccg",1,8,,4,4,4,149,9.37296E-98,0.00242562,0.00188187,0.000025069,0.000141424,4882430,305152,457728,4119550,2012.86,162.153,18258.7,29129.1,0.00149746,0.00187562,0.00168157,1113.5,0.00355822,96.1774,0.00329286,89.0049,0.000265354,7.17243
